id,artist,title,year
12584989,Chicago (2),Chicago 25 (The Christmas Album) = シカゴ 25 ～クリスマス・アルバム～,1998
14268541,Chicago (2),Chicago V = シカゴV,1995
2956834,Chicago (2),Greatest Hits Volume 1 = シカゴIX(偉大なる星条旗),1995
12516657,Chicago (2),Chicago XIII = シカゴXIII,1995
7024708,Chicago (2),Chicago III = シカゴⅢ,1993
4900192,Chicago (2),The Heart Of Chicago = ハート・オブ・シカゴ,1989
10384459,Chicago (2),Chicago At Carnegie Hall = シカゴ・アット・カーネギー・ホール,1995
6956675,Chicago (2),If You Leave Me Now = シカゴ・ソング・ブック,1996
12558105,Chicago (2),Chicago XXXII: Stone Of Sisyphus = シカゴ32 ストーン・オブ・シシファス,2008
7144804,Chicago (2),Chicago XIV = シカゴXIV,1995
5821357,Chicago (2),"""Now"" Chicago XXXVI = シカゴ36 ""Now""",2014
5320046,Chicago (2),Chicago 16 = ラヴ・ミー・トゥモロウ(シカゴ16),1997
10070225,Chicago (2),The Only One = オンリー・ワン,1997
12550308,Chicago (2),Chicago XXX = シカゴ XXX,2006
12567979,Chicago (2),Chicago 17 = シカゴ17,1988
8415072,Chicago (2),Chicago 18 = シカゴ18,1989
15768040,Chicago (2),The Heart Of Chicago 1967-1997 (30th Anniversary) Special Edition = ハート・オブ・シカゴ 1967-1997,1997
7821117,Chicago (2),Chicago 16 = ラヴ・ミー・トゥモロウ(シカゴ16),1985
12516005,Chicago (2),Chicago XI = シカゴXI,1995
12479378,Chicago (2),Chicago VIII = シカゴVIII(未だ見ぬアメリカ),1995
12607442,Chicago (2),Group Portrait Vol.2 = グループ・ポートレート 2,1996
12568088,Chicago (2),Chicago 17 = シカゴ17,2010
12619165,Chicago (2),Chicago 18 = シカゴ18,2010
7041064,Chicago (2),The Heart Of Chicago = ハート・オブ・シカゴ,0
10889243,Chicago (2),The Heart Of Chicago 1967-1981 (30th Anniversary) = ハート・オブ・シカゴ1967-1981,1997
9229955,Chicago (2),Night & Day (Big Band) = ナイト・アンド・デイ～ビッグ・バンド,1995
12607440,Chicago (2),Group Portrait Vol.1 = グループ・ポートレート 1,1996
12584005,Chicago (2),The Heart Of Chicago 1982-1998 Volume II = ハート・オブ・シカゴ1982-1998 II,1998
17382001,Chicago (2),The Heart Of Chicago 1982-1997 = ハート・オブ・シカゴ1982-1997,2003
6388865,Chicago (2),The Heart Of Chicago 1982-1998 Volume II = ハート・オブ・シカゴ1982-1998 II,1998
16267963,Chicago (2),The Heart Of Chicago 1982-1997 = ハート・オブ・シカゴ1982-1997,1997
12516421,Chicago (2),Hot Streets = ホット・ストリート,1995
3445871,Chicago (2),Chicago 18 = Чикаго – 18,1988
7967026,Chicago (2),Chicago = シカゴII (シカゴと23の誓い),2009
4035256,Chicago (2),Chicago 17 = シカゴ17,0
10176388,Chicago (2),Live In Toronto 1969 = ライヴ・イン・トロント1969,1992
12279548,Chicago (2),Chicago III = シカゴIII,1995
8962259,Chicago (2),All Roads Lead To You = オール・ローズ・リード・トゥ・ユー,1998
7710841,Chicago (2),ぼくらに微笑みを = Make Me Smile,1972
14654609,Chicago (2),Chicago XI = シカゴXI,1991
7720117,Chicago (2),18,1989
7695749,Chicago (2),Twenty 1 = 21,1991
4846273,Chicago (2),Chicago V = シカゴV,1995
7579644,Chicago (2),アライヴ・アゲイン = Alive Again,1978
11755596,Chicago (2),"Greatest Hits, Vol.II = シカゴ・グレイテスト・ヒッツ",1996
13284053,Chicago (2),"Greatest Hits, Vol.II = シカゴ・グレイテスト・ヒッツ",1996
6949547,Chicago (2),Chicago XXX = シカゴ XXX,2006
11512984,Chicago (2),Chicago = シカゴと23の誓い,1995
8378294,Chicago (2),Chicago VI = 遥かなる亜米利加,1995
12488661,Chicago (2),Chicago X = シカゴX(カリブの旋風),1995
4073781,"Earth, Wind & Fire",Spirit = 魂 スピリット,1976
4492530,"Earth, Wind & Fire",Gratitude = 灼熱の狂宴,1975
18752353,"Earth, Wind & Fire",宇宙のファンタジー = Fantasy,1978
5642311,"Earth, Wind & Fire",レッツ・グルーヴ = Let's Groove,1981
7083824,"Earth, Wind & Fire",Illumination = イルミネーション,2005
4723188,"Earth, Wind & Fire",Illumination = イルミネーション,2005
9750496,"Earth, Wind & Fire",I Am = 黙示録,1979
10717912,"Earth, Wind & Fire",Estrella Brillante = Shining Star,1975
5115935,"Earth, Wind & Fire",Live In Velfarre = ライヴ・イン・ヴェルファーレ,1995
7200255,"Earth, Wind & Fire",宇宙のファンタジー = Fantasy / ジュピター(銀河の覇者) = Jupiter,1977
3432956,"Earth, Wind & Fire",宇宙のファンタジー = Fantasy,1978
6114132,"Earth, Wind & Fire",ジュピター(銀河の覇者) = Jupiter,1977
1288438,"Earth, Wind & Fire",I Am = 黙示録,1979
446071,"Earth, Wind & Fire",All 'N All,1977
501949,"Earth, Wind & Fire",Spirit,1976
205846,"Earth, Wind & Fire",I Am,1979
420177,"Earth, Wind & Fire",Raise!,1981
1111347,"Earth, Wind & Fire",Powerlight,1983
205849,"Earth, Wind & Fire",Faces,1980
565612,"Earth, Wind & Fire",Last Days And Time,1972
205843,"Earth, Wind & Fire",Spirit,1976
1628020,"Earth, Wind & Fire",Touch The World,1987
849745,"Earth, Wind & Fire","The Best Of Earth, Wind & Fire Vol. I",1978
202048,"Earth, Wind & Fire",Let's Groove (Long Version),1981
4256570,"Earth, Wind & Fire",All 'N All,1977
1445835,"Earth, Wind & Fire",September,1978
3233481,"Earth, Wind & Fire",Powerlight,1983
969718,"Earth, Wind & Fire",September,1978
979172,"Earth, Wind & Fire",Faces,1980
3941468,"Earth, Wind & Fire",All 'N All,1978
928066,"Earth, Wind & Fire",Heritage,1990
945199,"Earth, Wind & Fire",Let's Groove - The Best Of Earth Wind & Fire,1997
220888,"Earth, Wind & Fire",Let's Groove,1981
226704,"Earth, Wind & Fire","The Essential Earth, Wind & Fire",2002
260687,"Earth, Wind & Fire",Fall In Love With Me (Extended Version),1983
1474725,"Earth, Wind & Fire",I Am,1979
949170,"Earth, Wind & Fire",Heritage,1990
205845,"Earth, Wind & Fire",Open Our Eyes,0
547303,"Earth, Wind & Fire",Raise!,1981
3730053,"Earth, Wind & Fire",The Dutch Collection,1999
1022058,"Earth, Wind & Fire",Raise!,1981
1862652,"Earth, Wind & Fire",That's The Way Of The World,1975
8136334,"Earth, Wind & Fire","The Best Of Earth, Wind & Fire Vol. I",0
170315,"Earth, Wind & Fire",The Very Best Of Earth Wind & Fire,1992
709992,"Earth, Wind & Fire",The Very Best Of,1991
5853332,"Earth, Wind & Fire",I Am,1979
3003137,"Earth, Wind & Fire",Touch The World,1987
1438198,"Earth, Wind & Fire",Open Our Eyes,1974
1483336,"Earth, Wind & Fire",Got To Get You Into My Life,1978
2171056,"Earth, Wind & Fire",I Am,2004
3883176,Bob Dylan,ボブ・ディラン! = Bob Dylan !,1966
3886730,Bob Dylan,時代は変る = The Times They Are A-Changin',1969
14849796,Bob Dylan,天国への扉 = Knockin' On Heaven's Door,1973
14980473,Bob Dylan,日本のシングル集 = Japanese Singles Collection,2020
7221636,Bob Dylan,ブルーにこんがらがって = Tangled Up In Blue,1975
3883121,Bob Dylan,ライク・ア・ローリング・ストーン = Like A Rolling Stone / 風に吹かれて = Blowin' In The Wind,1965
10711414,Bob Dylan,世界のはじめに = Man Gave Names To All The Animals ,1979
3881866,Bob Dylan,Blowin' In The Wind = 風に吹かれて,1968
5800289,Bob Dylan,Idiot Wind = Идиотический Ветер,0
16117868,Bob Dylan,窓からはい出せ = Can You Please Crawl Out Your Window?,1969
2491539,Bob Dylan,Desire = 欲望,1976
2929224,Bob Dylan,コーヒーもう一杯 = One More Cup Of Coffee,1976
2946749,Bob Dylan,Bob Dylan,1976
3881815,Bob Dylan,風に吹かれて = Blowin' In The Wind / ライク・ア・ローリング・ストーン = Like A Rolling Stone,1968
2830686,Bob Dylan,Best = べスト,0
2929202,Bob Dylan,マリーへのメッセージ = Take A Message To Mary,1970
3885884,Bob Dylan,ボブ・ディラン! 第２集 = Bob Dylan !! Vol. 2,1966
2945623,Bob Dylan,ブルーにこんがらがって = Tangled Up In Blue,1975
13274630,Bob Dylan,メイク・ユー・フィール・マイ・ラヴ = Make You Feel My Love ,2019
2933162,Bob Dylan,Blowin' In The Wind / Like A Rolling Stone,1976
7233126,Bob Dylan,コーヒーもう一杯 = One More Cup Of Coffee,1976
2945039,Bob Dylan,風に吹かれて,1974
3886888,Bob Dylan,Nashville Skyline,1969
2929237,Bob Dylan,マスターピース = When I Paint My Masterpiece,1971
3882945,Bob Dylan,Lay Lady Lay = レイ・レディ・レイ / Peggy Day = ペギー・デイ,1969
