id,artist,title,year
14259756,Huey Lewis & The News,Walking On A Thin Line = ウォーキング・オン・ア・シン・ライン,1984
17930218,Huey Lewis & The News,いつも夢みて = If This Is It,1984
17790730,Huey Lewis & The News,ワーキン・フォー・ア・リヴィン = Workin For A Livin,1982
9569229,Huey Lewis & The News,Walking On A Thin Line = ウォーキング・オン・ア・シン・ライン,1984
8476161,Huey Lewis & The News,ビリーヴ・イン・ラヴ = Do You Believe In Love,1982
8487101,Huey Lewis & The News,Huey Lewis And The News = ヒューイ・ルイス・アンド・ザ・ニュース,1986
9500573,Huey Lewis & The News,いつも夢みて = If This Is It,1984
6039016,Huey Lewis & The News,ビリーヴ・イン・ラヴ = Do You Believe In Love,1982
11466041,Huey Lewis & The News,アイ・ウォント・ア・ニュー・ドラッグ = I Want A New Drug,1983
14555815,Huey Lewis & The News,Super Selections = パワー・オブ・ラヴ（ヒューイ・ルイス＆ザ・ニュース・スーパー・セレクション）,1989
4396821,Huey Lewis & The News,Hard At Play = ハード・アット・プレイ,1991
9500499,Huey Lewis & The News,ハート・オブ・ロックン・ロール = The Heart Of Rock & Roll,1984
592130,Huey Lewis & The News,The Power Of Love = パワー・オブ・ラヴ,1985
9024321,Huey Lewis & The News,アイ・ウォント・ア・ニュー・ドラッグ = I Want A New Drug,1983
14555792,Huey Lewis & The News,Hard At Play = ハード・アット・プレイ,1991
9544157,Huey Lewis & The News,ワーキン・フォー・ア・リヴィン = Workin For A Livin,1982
7937592,Huey Lewis & The News,Picture This = ベイ・エリアの風,1989
6876086,Huey Lewis & The News,Picture This = ベイ・エリアの風,2015
12371759,Huey Lewis & The News,ハート・オブ・ロックン・ロール = The Heart Of Rock & Roll,1984
1287122,Huey Lewis & The News,Super Selections = パワー・オブ・ラヴ（ヒューイ・ルイス＆ザ・ニュース・スーパー・セレクション）,1989
3656219,Huey Lewis & The News,Give Me The Keys (And I'll Drive You Crazy),1988
1242457,Huey Lewis & The News,Simple As That,1987
6382164,Huey Lewis & The News,Fore!,1999
3789186,Huey Lewis & The News,Heart And Soul,1983
2130712,Huey Lewis & The News,The Heart Of Rock & Roll / If This Is It,1985
