album,artist,issue_date
I Dreamed a Dream,Susan Boyle,January 2
Animal,Kesha,January 23
Contra,Vampire Weekend,January 30
Need You Now,Lady Antebellum,February 13
Soldier of Love,Sade,February 27
Battle of the Sexes,Ludacris,March 27
My World 2.0,Justin Bieber,April 10
Raymond v. Raymond,Usher,April 17
"Glee: The Music, The Power of Madonna", Cast,May 8
The Adventures of Bobby Ray,B.o.B,May 15
The Oracle,Godsmack,May 22
To the Sea,Jack Johnson,June 19
Thank Me Later,Drake,July 3
Recovery,Eminem,July 10
Nightmare,Avenged Sevenfold,August 14
The Suburbs,Arcade Fire,August 21
Teenage Dream,Katy Perry,September 11
Asylum,Disturbed,September 18
Kaleidoscope Heart,Sara Bareilles,September 25
A Thousand Suns,Linkin Park,October 2
You Get What You Give,Zac Brown Band,October 9
Hemingway's Whiskey,Kenny Chesney,October 16
Bullets in the Gun,Toby Keith,October 23
I Am Not a Human Being,Lil Wayne,October 30
The Incredible Machine,Sugarland,November 6
Speak Now,Taylor Swift,November 13
My Beautiful Dark Twisted Fantasy,Kanye West,December 11
